,name,id,location,is_economy,media_type,daily_avg_vlm,rank
24,证券时报网,21101,广东,1.0,1，2，3,219.33333333333334,0
0,中国证券报,10102,北京,1.0,0，2，3，4,214.33673469387756,0
270,每日经济新闻,220402,上海,1.0,0，2，3，4,169.73469387755102,0
4,中证网,10101,北京,1.0,1,108.91496598639456,0
20,证券时报,21102,广东,1.0,0，4,101.29351535836177,0
6,中国证券网,10201,上海,1.0,1，2，3,75.90753424657534,0
347,证券日报,290302,北京,1.0,0，2,67.825,0
0,新华网,10001,北京,0.0,1,65.6734693877551,0
1,上海证券报,10202,上海,1.0,0，2，3，4,61.35034013605442,0
25,e公司,21103,广东,1.0,2,52.775510204081634,0
548,中国高新技术产业导报,600100,北京,0.0,0,45.0,0
578,中国日报,102260,北京,0.0,0,42.97810218978102,0
674,证券日报网,290301,北京,1.0,1,37.68705035971223,0
672,中国经济网,290102,北京,0.0,1,35.273972602739725,0
906,人民网,20402,北京,0.0,1,34.12244897959184,0
16,环球时报,20703,北京,0.0,0，2，3,26.937728937728938,0
589,中国经营报,100350,北京,1.0,0,26.380228136882128,0
17,环球网,20701,北京,0.0,1,24.64625850340136,0
8,经济参考报,10302,北京,1.0,0，1，2，4,20.610328638497652,0
24,中国基金报,21501,广东,1.0,0，1，2，3,20.479591836734695,0
727,华夏时报,100580,北京,1.0,0,18.56896551724138,0
26,券商中国,21104,广东,1.0,2,16.207482993197278,0
581,中国企业报,102040,北京,1.0,0,16.0625,0
590,中国经济时报,100340,北京,1.0,0,14.706806282722512,0
971,海外网,20501,北京,0.0,1,13.53405017921147,0
4,环球,10601,北京,0.0,0，2,13.433460076045627,0
974,农民日报,600,北京,0.0,0，3,13.423529411764706,0
894,中国金融信息网,10006,北京,1.0,1,13.170370370370371,0
21,国际金融报,21201,上海,1.0,0，1，2,13.11111111111111,0
1010,红周刊,510700,北京,1.0,0，1，3,11.0,0
731,国际商报,103410,北京,1.0,0,10.736526946107784,0
534,中国经济导报,510100,北京,1.0,0,10.59375,0
11,参考消息,11300,北京,0.0,0,9.741379310344827,0
703,科技日报,101060,北京,0.0,0,8.284046692607005,0
7,经济参考网,10301,北京,0.0,1,8.077669902912621,0
915,证券市场红周刊,510700,北京,1.0,0，1，3,7.180212014134276,0
673,人民邮电报,102780,北京,0.0,0,6.7215189873417724,0
576,中国商报,102110,北京,1.0,0,6.305084745762712,0
351,中国化工报,290700,北京,0.0,0,5.957746478873239,0
568,每经网,220401,上海,1.0,1,5.888446215139442,0
1,中国财富网,10002,北京,1.0,1,5.753246753246753,0
18,中国能源报,20900,北京,0.0,0,5.586538461538462,0
36,经济网,22601,北京,1.0,1,5.044444444444444,0
949,中国金融新闻网,101461,北京,1.0,1,5.042016806722689,0
734,法制日报,104750,北京,0.0,0,4.509677419354839,0
634,消费日报,104840,北京,0.0,0,4.319277108433735,0
