,name,id,location,is_economy,media_type,daily_avg_vlm,rank
372,香港商报,310602,HK,1.0,0，2，4,30.229166666666668,0
538,香港经济日报,520100,HK,1.0,0,61.148148148148145,0
539,星岛日报,530100,HK,0.0,0,101.7147766323024,0
540,成报,540100,HK,0.0,0,19.996539792387544,0
544,台湾时报,570100,TW,0.0,0,49.532423208191126,0
546,民众日报,590100,TW,0.0,0,29.611888111888113,0
550,A 报,101620,HK,0.0,0,,0
551,am730,101810,HK,0.0,0,28.248730964467004,0
552,IT Home 电脑报,101690,TW,0.0,0,,0
553,JET,101700,HK,0.0,0,,0
554,澳门日报,104910,Macau,0.0,0,69.10921501706484,0
573,大公报,103500,HK,0.0,0,64.9757785467128,0
577,大众报,103480,Macau,0.0,0,5.176470588235294,0
583,东方日报,101990,HK,0.0,0,97.06825938566553,0
586,都市日报,105910,HK,0.0,0,,0
593,工商时报,103710,TW,1.0,0,78.94539249146757,0
594,公教报,102920,HK,0.0,0,15.119047619047619,0
595,公正报,102930,TW,0.0,0,,0
597,光明日报(马来西亚),102910,Malaysia,0.0,0,,0
601,国际纽约时报(国际先驱导报),107100,US,0.0,0,,0
608,濠江日报,104920,Macau,0.0,0,6.035211267605634,0
609,好报,107110,HK,0.0,0,,0
613,华侨报,103080,Macau,0.0,0,16.975609756097562,0
626,金融时报,101460,UK,1.0,0,24.52863436123348,0
627,金融邮报(全国邮报),105990,Canada,1.0,0,,0
628,劲报,103000,TW,0.0,0,,0
631,经济日报(台湾),105420,TW,1.0,0,73.13651877133105,0
635,力报,107050,Macau,0.0,0,18.07027027027027,0
636,联合报,105570,TW,0.0,0,64.36860068259385,0
637,联合晚报(新加坡),105590,SGP,0.0,0,16.068376068376068,0
638,联合早报(新加坡),105580,SGP,0.0,0,,0
641,民生报,104590,TW,0.0,0,,0
642,明报,104350,HK,0.0,0,78.6872852233677,0
643,明报(纽约),104370,HK,0.0,0,,0
644,明报加东版(多伦多),104380,HK,0.0,0,,0
645,明报加西版(温哥华),104390,HK,0.0,0,,0
646,明报美西版(三藩市),104420,HK,0.0,0,,0
647,明日报,104430,TW,0.0,0,1.0,0
649,文汇报,104030,HK,0.0,0,69.40764331210191,0
656,南洋商报,103170,SGP,1.0,0,48.08680555555556,0
659,苹果日报,105650,HK,0.0,0,82.53924914675768,0
660,破周报,105300,TW,0.0,0,,0
665,晴报,107150,HK,0.0,0,14.928934010152284,0
676,生活区报 (香港经济日报),105080,HK,0.0,0,,0
680,市民日报,103730,Macau,0.0,0,11.573378839590443,0
681,爽报 ,107170,HK,0.0,0,,0
682,爽报 - 台湾版,107180,TW,0.0,0,,0
683,台湾立报,103260,TW,0.0,0,,0
684,台湾苹果日报,103280,TW,0.0,0,46.09556313993174,0
685,台湾日报,103250,TW,0.0,0,,0
686,台湾新生报,103240,TW,0.0,0,35.05821917808219,0
687,太平洋日报,103600,TW,0.0,0,17.670103092783506,0
688,太阳报,103610,HK,0.0,0,,0
691,天天日报,103580,HK,0.0,0,,0
693,头条日报,103620,HK,0.0,0,33.91983122362869,0
696,我报 (中文版),103870,SGP,0.0,0,,0
699,新报,104130,HK,0.0,0,13.752475247524753,0
700,新华澳报,104090,Macau,0.0,0,11.751020408163265,0
704,新明日报,104150,SGP,0.0,0,14.598290598290598,0
707,信报财经新闻,100480,HK,1.0,0,85.75510204081633,0
709,星报(澳门),107140,Macau,0.0,0,14.5,0
710,星洲日报(马来西亚),104440,Malaysia,0.0,0,,0
711,讯报,105730,Macau,0.0,0,22.095238095238095,0
716,英文台北时报,105640,TW,0.0,0,34.744027303754265,0
720,真晨报,105280,TW,0.0,0,43.26962457337884,0
721,正报,104530,HK,0.0,0,11.077551020408164,0
725,中国报,102220,Malaysia,0.0,0,38.16393442622951,0
741,中国时报,102270,TW,0.0,0,55.73378839590443,0
747,中华日报,102020,TW,0.0,0,45.66211604095563,0
748,中华日报(泰国),102030,TW,0.0,0,,0
749,中央日报,102620,TW,0.0,0,,0
750,自立晚报,105630,TW,0.0,0,,0
751,自由时报,105620,TW,0.0,0,56.57679180887372,0
692,香港商报网,310601,HK,1.0,1，3,,0
1013,文汇网,104030,HK,0.0,1,79.76691729323308,0
1031,群益证券,117,台湾,1.0,5,1.5,0
